latitude,longitude,status,detected_at,source,copernicus_product_id,validation_status,notes
32.6779115462,32.1978252943,Oil spill,2019-03-07T03:50:39Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190307T035129_20190307T035154_015243_01C850_97F9.SAFE;S1B_IW_GRDH_1SDV_20190307T035104_20190307T035129_015243_01C850_7057.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.7882262903,31.9783079012,Oil spill,2019-03-07T03:50:39Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190307T035129_20190307T035154_015243_01C850_97F9.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.2773508278,32.7230609685,Oil spill,2019-03-08T03:42:57Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190308T034412_20190308T034437_026241_02EE61_2777.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.3786784436,32.2186324732,Oil spill,2019-03-11T15:56:09Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190311T155609_20190311T155634_015309_01CA74_5487.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.9372387027,30.5057345014,Oil spill,2019-03-11T15:56:40Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190311T155640_20190311T155709_015309_01CA75_E0AC.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.5428788863,31.7355293864,Oil spill,2019-03-12T03:58:49Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190312T035849_20190312T035914_015316_01CAB5_BF4A.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.0258047654,30.6268446069,Oil spill,2019-03-12T03:58:49Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190312T035914_20190312T035939_015316_01CAB5_A5CE.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.6959378029,30.5807880348,Oil spill,2019-03-12T03:58:49Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190312T035939_20190312T040004_015316_01CAB5_09EE.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.5839638856,32.4244610022,Oil spill,2019-03-12T15:48:35Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190312T154835_20190312T154900_026307_02F0D5_EA94.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.9471294666,32.2456876193,Oil spill,2019-03-12T15:48:35Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190312T154900_20190312T154925_026307_02F0D5_5A39.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.2683049777,33.1882813899,Oil spill,2019-03-13T03:51:16Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190313T035141_20190313T035206_026314_02F112_DA9D.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.2374924873,31.8914303289,Oil spill,2019-03-13T03:51:16Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190313T035206_20190313T035231_026314_02F112_B938.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.5126703873,32.1657208123,Oil spill,2019-03-13T03:51:16Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190313T035231_20190313T035258_026314_02F112_380A.SAFE;S1A_IW_GRDH_1SDV_20190313T035206_20190313T035231_026314_02F112_B938.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.2712716419,32.7051588093,Oil spill,2019-03-18T15:47:45Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190318T154810_20190318T154835_015411_01CDBD_41F5.SAFE;S1B_IW_GRDH_1SDV_20190318T154745_20190318T154810_015411_01CDBD_E506.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
